predicted,true_label
trombone,trombone
mailbox,umbrella
umbrella,umbrella
palm tree,palm tree
ice-cream-cone,ice-cream-cone
sea turtle,motorbike
mug,mug
envelope,envelope
pig ,pig 
truck,truck
hammer,hammer
mosquito,flower with stem 
rabbit,rabbit
couch,couch
harp,harp
pigeon,parrot
wrist-watch,wrist-watch
parking meter,parking meter
skyscraper,skyscraper
eyeglasses,eyeglasses
suv,suv
flashlight,flashlight
van,van
pig ,wheelbarrow
palm tree,palm tree
snail,snail
frying-pan,frying-pan
crocodile,crocodile
panda,panda
tire,snail
computer monitor,computer monitor
telephone,telephone
rooster,rooster
purse,pizza
keyboard,keyboard
armchair,armchair
owl,owl
snowman,snowman
book,book
potted planet,potted planet
person sitting,person sitting
backpack,backpack
mailbox,sheep
angel,angel
tire,tire
tooth,tooth
donut,donut
paper clip,boomerang
power outlet ,power outlet 
squirrel,squirrel
tiger,tiger
bush,frog
saxophone,saxophone
ipod,ipod
suv,suv
bear (animal),bear (animal)
bed,bed
wine-bottle,wine-bottle
wine-bottle,wine-bottle
bulldozer,bulldozer
cup,cup
teacup,cup
mushroom,umbrella
pig ,bear (animal)
megaphone,megaphone
spider,spider
penguin,penguin
loudspeaker,loudspeaker
armchair,armchair
bush,bush
binoculars,binoculars
pumpkin,grenade
trombone,trombone
skateboard,skateboard
person walking,person walking
pretzel,pretzel
dolphin,tablelamp
lion,lion
person walking,kangaroo
grenade,grenade
purse,bush
human-skeleton,human-skeleton
sheep,sheep
palm tree,palm tree
wheel,pizza
cannon,cannon
apple,apple
megaphone,megaphone
trousers,trousers
snail,snail
power outlet ,power outlet 
crab,crab
skateboard,skateboard
flying bird,flying bird
t-shirt,t-shirt
screwdriver,angel
potted planet,potted planet
pear,pear
seagull,seagull
wheelbarrow,wheelbarrow
bulldozer,bulldozer
knife,knife
foot,foot
revolver,revolver
pig ,pig 
van,van
sheep,sheep
potted planet,potted planet
ladder,ladder
pipe (for somking),pipe (for somking)
toothbrush,toothbrush
banana,satellite dish
calculator,calculator
speed-boat,speed-boat
submarine,submarine
crane (machine),crane (machine)
ear,ear
crane (machine),bulldozer
grenade,grenade
barn,barn
tractor,suv
snowboard,snowboard
feather,feather
backpack,backpack
rainbow,rainbow
floor lamp,floor lamp
snail,snail
bathtub,bathtub
head,head
rooster,rooster
lobster,screwdriver
airplane,airplane
wine-bottle,wine-bottle
revolver,revolver
rooster,rooster
snowman,snowman
dog,dog
calculator,calculator
satellite dish,satellite dish
snake,snake
horse,horse
dog,dog
toilet,toilet
screwdriver,screwdriver
calculator,calculator
house,house
nose,nose
comb,comb
arm,arm
blimp,blimp
laptop,laptop
truck,train
church,church
lobster,ant
hamburger,hamburger
octopus,octopus
rifle,rifle
hand,hand
sun,sun
pipe (for somking),pipe (for somking)
suitcase,suitcase
purse,purse
fire hydrant,fire hydrant
face,face
ice-cream-cone,ice-cream-cone
carrot,carrot
submarine,submarine
carrot,knife
donut,donut
rollerblades,rollerblades
cow,cow
scropion,scropion
bush,bush
keyboard,keyboard
comb,comb
vase,vase
parking meter,parking meter
teacup,tablelamp
trousers,trousers
mouse (animal),mouse (animal)
speed-boat,speed-boat
potted planet,potted planet
moon,moon
crab,bridge
wine-bottle,wine-bottle
comb,comb
speed-boat,speed-boat
nose,nose
bush,bush
banana,banana
vase,vase
rollerblades,rollerblades
radio,radio
human-skeleton,human-skeleton
satellite,satellite
motorbike,present 
skull,skull
teacup,teacup
flying saucer,flying saucer
sailboat,sailboat
carrot,carrot
hedgehog,hedgehog
couch,couch
palm tree,palm tree
strawberry,strawberry
loudspeaker,loudspeaker
mushroom,mushroom
revolver,revolver
bowl,bowl
megaphone,megaphone
skyscraper,skyscraper
elephant,elephant
lightbulb,lightbulb
snake,snake
rifle,rifle
pig ,pig 
couch,couch
chandelier,crane (machine)
hot-dog,space shuttle
teapot,teapot
hammer,hammer
pig ,pig 
key,key
crane (machine),crane (machine)
grenade,grenade
wineglass,wineglass
van,truck
bicycle,bicycle
rooster,rooster
spoon,spoon
armchair,toilet
diamond,diamond
satellite dish,satellite dish
kangaroo,kangaroo
carrot,carrot
spider,spider
camera,camera
door handle,door handle
penguin,penguin
bridge,bridge
megaphone,book
calculator,cell phone
carrot,carrot
wine-bottle,church
helicopter,helicopter
book,book
apple,apple
fish ,fish 
cloud,cloud
angel,angel
leaf,leaf
shark,shark
grapes,grapes
banana,banana
pen,pen
satellite dish,satellite dish
suitcase,suitcase
blimp,helicopter
cake,cake
hot-dog,hot-dog
skyscraper,skyscraper
motorbike,motorbike
screwdriver,screwdriver
tv,tv
arm,arm
parrot,parrot
tennis-racket,tennis-racket
butterfly,butterfly
sponge bob,sponge bob
baseball bat,nose
microphone,microphone
sun,sun
lightbulb,lightbulb
zebra,zebra
rollerblades,rollerblades
octopus,octopus
mouth,mouth
van,suv
boomerang,boomerang
door,door
satellite,satellite
bus,bus
envelope,envelope
fan,fan
spider,spider
elephant,elephant
lobster,lobster
swan,swan
hourglass,hourglass
radio,radio
grenade,grenade
kangaroo,kangaroo
laptop,laptop
tiger,tiger
revolver,revolver
pig ,tiger
pizza,brain
rabbit,head
power outlet ,power outlet 
space shuttle,space shuttle
cactus,cactus
trombone,flower with stem 
crown,crown
van,van
purse,telephone
tiger,tiger
lobster,flower with stem 
pizza,pizza
tomato,tomato
microphone,microphone
kangaroo,kangaroo
cell phone,cell phone
fire hydrant,fire hydrant
standing bird,standing bird
standing bird,standing bird
cake,cake
diamond,parachute
helicopter,helicopter
sword,sword
power outlet ,power outlet 
key,key
santa claus,santa claus
door,door
mouse (animal),mouse (animal)
beer-mug,beer-mug
car(sedan),car(sedan)
keyboard,cabinet
seagull,seagull
tree,tree
race car,race car
book,book
scissors,scissors
camel,camel
nose,nose
pear,pear
power outlet ,power outlet 
lobster,lobster
tennis-racket,tennis-racket
eye,eye
santa claus,santa claus
teddy-bear,bear (animal)
tent,tent
ladder,ladder
guitar,guitar
syrine,syrine
suitcase,megaphone
cigarette,cigarette
syrine,syrine
helicopter,helicopter
pipe (for somking),pipe (for somking)
guitar,guitar
pipe (for somking),pipe (for somking)
sponge bob,sponge bob
cannon,cannon
sailboat,sailboat
frog,frog
hourglass,hourglass
door handle,axe
bear (animal),bear (animal)
t-shirt,t-shirt
cloud,cloud
house,mosquito
guitar,guitar
pretzel,pretzel
hamburger,hamburger
alarm clock,alarm clock
flying bird,flying bird
pineapple,pineapple
brain,brain
loudspeaker,loudspeaker
sword,sword
parachute,parachute
helmet,helmet
bed,bed
pig ,pig 
tennis-racket,tennis-racket
shovel,shovel
bench,bench
leaf,leaf
lobster,lobster
ashtray,ashtray
zebra,zebra
tomato,tomato
bus,suv
stapler,hot-dog
rifle,rifle
walkie talkie,ipod
bottle opener,door
barn,barn
snowboard,flashlight
sea turtle,sea turtle
sponge bob,sponge bob
seagull,pigeon
shark,shark
wine-bottle,wine-bottle
rifle,revolver
piano,piano
sea turtle,sea turtle
knife,skateboard
butterfly,butterfly
umbrella,umbrella
cloud,cloud
walkie talkie,walkie talkie
walkie talkie,walkie talkie
axe,toothbrush
teacup,teacup
laptop,laptop
zebra,zebra
table,table
santa claus,santa claus
satellite dish,bench
blimp,blimp
ship,chandelier
parachute,parachute
microscope,microscope
armchair,book
submarine,submarine
present ,present 
tiger,tiger
comb,comb
mushroom,mushroom
computer- mouse,computer- mouse
lion,dragon
bread,bread
book,book
eyeglasses,eyeglasses
scropion,scropion
eye,eye
tent,tent
mermaid,pear
mailbox,mailbox
wheel,wheel
umbrella,umbrella
lightbulb,lightbulb
hammer,computer- mouse
wine-bottle,wine-bottle
speed-boat,blimp
bookshelf,harp
candle,candle
horse,cow
vase,vase
door,hammer
skateboard,key
nose,nose
bathtub,bowl
helmet,helmet
spider,spider
sailboat,sailboat
tractor,tractor
train,parrot
grenade,grenade
human-skeleton,human-skeleton
bed,bed
foot,foot
streetlight,streetlight
radio,radio
apple,apple
dog,dog
hamburger,hamburger
umbrella,umbrella
train,train
horse,horse
ladder,ladder
octopus,dog
face,face
teacup,cup
kangaroo,kangaroo
cigarette,cigarette
grenade,grenade
cell phone,cell phone
sea turtle,human-skeleton
wine-bottle,wine-bottle
knife,shovel
chandelier,chandelier
bathtub,bathtub
foot,foot
ice-cream-cone,ice-cream-cone
trumpet,trumpet
paper clip,paper clip
person walking,person walking
skull,skull
grenade,grenade
panda,owl
bottle opener,bottle opener
monkey,monkey
panda,panda
t-shirt,t-shirt
penguin,penguin
mailbox,mailbox
pumpkin,pumpkin
rifle,door handle
van,butterfly
pizza,pizza
scropion,scropion
streetlight,streetlight
windmill,windmill
violin,violin
floor lamp,floor lamp
snowboard,skateboard
pipe (for somking),pipe (for somking)
key,key
cactus,backpack
wine-bottle,wine-bottle
bee,pigeon
hedgehog,hedgehog
ship,ship
power outlet ,power outlet 
umbrella,umbrella
fire hydrant,castle
tv,tv
shoe,shoe
helicopter,helicopter
cow,cow
table,table
teddy-bear,teddy-bear
pipe (for somking),pipe (for somking)
dolphin,submarine
screwdriver,dragon
telephone,telephone
human-skeleton,human-skeleton
cup,cup
truck,rollerblades
bread,bread
horse,horse
bush,angel
ship,ship
hand,hand
chair,armchair
truck,tractor
hamburger,hamburger
car(sedan),car(sedan)
trousers,trousers
van,van
axe,axe
wrist-watch,wrist-watch
crane (machine),crane (machine)
brain,brain
mushroom,mushroom
mug,mug
donut,donut
trousers,trousers
vase,guitar
tennis-racket,tennis-racket
hamburger,hamburger
tennis-racket,tennis-racket
camera,camera
pig ,pig 
camel,camel
candle,castle
brain,brain
guitar,guitar
knife,knife
wheel,tire
mushroom,mushroom
hourglass,hourglass
pretzel,pretzel
guitar,guitar
grapes,grapes
carrot,carrot
key,key
fire hydrant,fire hydrant
table,megaphone
human-skeleton,human-skeleton
bowl,bowl
person walking,person walking
cannon,diamond
dog,dog
loudspeaker,loudspeaker
chandelier,chandelier
syrine,mouse (animal)
bee,bee
speed-boat,speed-boat
moon,moon
rollerblades,rollerblades
binoculars,binoculars
crane (machine),crane (machine)
hammer,hammer
bed,bed
rollerblades,rollerblades
axe,axe
nose,nose
dragon,dragon
hedgehog,hedgehog
book,book
apple,apple
giraffe,person sitting
tennis-racket,tennis-racket
umbrella,umbrella
toilet,toilet
tennis-racket,tennis-racket
trombone,trombone
trumpet,revolver
computer monitor,computer monitor
speed-boat,submarine
crown,speed-boat
spoon,spoon
ship,ship
mouth,mouth
fire hydrant,fire hydrant
couch,couch
diamond,diamond
fire hydrant,fire hydrant
airplane,airplane
skull,skull
airplane,airplane
truck,truck
book,book
teacup,teacup
hot-dog,hot-dog
toilet,toilet
bear (animal),bear (animal)
frying-pan,snake
computer- mouse,computer- mouse
ear,wrist-watch
mouse (animal),mouse (animal)
airplane,airplane
rainbow,rainbow
teddy-bear,teddy-bear
train,train
door handle,door handle
snowman,snowman
megaphone,megaphone
axe,axe
church,castle
streetlight,streetlight
cow,cow
angel,angel
tennis-racket,tennis-racket
rooster,rooster
tiger,tiger
race car,race car
toilet,revolver
race car,race car
ashtray,tire
face,head
cat,lion
human-skeleton,human-skeleton
cigarette,cigarette
umbrella,umbrella
dog,dog
sea turtle,satellite
pig ,pig 
computer monitor,computer monitor
backpack,backpack
lightbulb,lightbulb
streetlight,streetlight
bus,bus
tractor,tractor
train,train
teapot,teapot
angel,angel
toothbrush,toothbrush
traffic light,traffic light
octopus,octopus
potted planet,potted planet
duck,duck
bus,bus
person sitting,person sitting
bowl,bowl
flower with stem ,flower with stem 
teapot,teapot
santa claus,santa claus
keyboard,keyboard
airplane,airplane
comb,comb
helmet,helmet
spider,mermaid
hourglass,hourglass
monkey,monkey
shark,fish 
t-shirt,t-shirt
speed-boat,speed-boat
person walking,person walking
rainbow,rainbow
telephone,telephone
cloud,cloud
calculator,piano
knife,knife
donut,donut
tiger,tiger
teddy-bear,teddy-bear
skull,skull
elephant,elephant
elephant,elephant
camel,camel
sun,sun
cannon,cannon
shark,fork
ipod,ipod
mailbox,mailbox
table,table
wine-bottle,wine-bottle
hourglass,hourglass
cloud,cloud
eye,eye
bee,butterfly
car(sedan),car(sedan)
computer monitor,computer monitor
house,house
shark,shark
hamburger,hamburger
butterfly,butterfly
screwdriver,screwdriver
trombone,trombone
trousers,trousers
snowman,snowman
mouth,mouth
tooth,tooth
frog,angel
telephone,squirrel
guitar,guitar
tractor,tractor
key,key
eye,eye
flying saucer,speed-boat
race car,race car
sponge bob,sponge bob
santa claus,santa claus
bathtub,bathtub
castle,castle
elephant,elephant
spider,spider
streetlight,streetlight
table,table
motorbike,motorbike
panda,bear (animal)
parking meter,parking meter
lighter,tv
tree,tree
book,book
snake,snake
cigarette,cigarette
dragon,dragon
tooth,tooth
person sitting,person sitting
t-shirt,tooth
tooth,tooth
traffic light,traffic light
house,house
teacup,teacup
strawberry,strawberry
purse,purse
candle,lighter
baseball bat,baseball bat
chandelier,chandelier
pizza,pizza
tire,tire
canoe,banana
crocodile,crocodile
t-shirt,t-shirt
vase,vase
scropion,scropion
windmill,windmill
tv,tv
couch,couch
bread,bread
airplane,airplane
bench,comb
book,book
elephant,bear (animal)
tractor,tractor
duck,duck
camel,camel
frog,kangaroo
bee,backpack
pumpkin,pumpkin
mug,teacup
bottle opener,bottle opener
stapler,basket
hammer,hammer
satellite dish,socks
pigeon,pigeon
grenade,grenade
windmill,windmill
helicopter,helicopter
camera,camera
hat,hat
bell,bell
revolver,revolver
door,crane (machine)
banana,moon
grenade,grenade
boomerang,boomerang
cat,cat
toothbrush,toothbrush
skull,skull
face,face
cabinet,cabinet
bee,monkey
rabbit,rabbit
wineglass,wineglass
skyscraper,skyscraper
church,church
pear,pear
crab,crab
airplane,airplane
butterfly,butterfly
loudspeaker,door handle
chair,chair
candle,candle
power outlet ,power outlet 
canoe,canoe
seagull,seagull
cactus,cactus
flying saucer,flying saucer
guitar,guitar
castle,castle
seagull,seagull
toilet,toilet
dragon,dragon
suitcase,suitcase
harp,harp
ladder,ladder
bookshelf,bookshelf
wheel,wheel
tablelamp,tablelamp
crab,head-phones
lightbulb,lightbulb
stapler,stapler
apple,apple
table,table
apple,apple
tire,tire
walkie talkie,walkie talkie
flashlight,flashlight
present ,person sitting
pretzel,pretzel
knife,knife
grenade,grenade
microphone,microphone
feather,feather
lion,squirrel
bus,bus
ice-cream-cone,ice-cream-cone
ladder,ladder
brain,brain
loudspeaker,loudspeaker
tent,tent
nose,nose
boomerang,boomerang
zebra,zebra
hand,hand
hamburger,hamburger
hat,hat
duck,duck
rabbit,rabbit
t-shirt,t-shirt
satellite,satellite
